"","last_first","player_id","year","ppa","hitcountrate","pa","bb_percent","b_total_pitches","xslg","squared_up_swing","exit_velocity_avg","oz_swing_percent","whiff_percent","flyballs_percent"
"580","Eric Wagaman",676572,2024,3.635135135,0.2,74,2.7,269,0.412,24.5,91.7,70.5,79.1,25.5
"581","Will Wagner",695238,2024,4.23255814,0.2134831461,86,4.7,364,0.488,32.2,90.6,72,80.7,15.2
"582","Christian Walker",572233,2024,4.19384058,0.2604895105,552,10,2315,0.457,20.2,91.2,75.7,74.4,31.9
"583","Jordan Walker",691023,2024,3.758426966,0.1851851852,178,5.6,669,0.359,20.5,91.2,67.6,68.4,26.7
"584","Forrest Wall",657088,2024,3.685714286,0.2,35,8.6,129,0.252,31.4,89.2,70.5,63.6,33.3
"585","Matt Wallner",670242,2024,3.946360153,0.2481203008,261,9.2,1030,0.468,15.4,92.8,74,61.6,34.1
"586","Taylor Walls",670764,2024,4.079365079,0.2808988764,252,12.3,1028,0.259,24.5,86.1,79.7,75,29.9
"587","Jared Walsh",665120,2024,4.366666667,0.2903225806,60,11.7,262,0.4,15.3,84.2,79.7,58.7,37.5
"588","Donovan Walton",622268,2024,3.84,0.2142857143,25,8,96,0.276,16.2,84.1,77.8,71.7,20
"589","Taylor Ward",621493,2024,3.920060332,0.2265512266,663,9.5,2599,0.458,29.6,90.9,79.2,74.5,36.3
"590","Drew Waters",671221,2024,4.947368421,0.4,19,10.5,94,0.138,7.5,77.9,77.4,68.2,30
"591","Austin Wells",669224,2024,3.956521739,0.2166666667,414,11.4,1638,0.429,23.3,88.4,74.5,72.7,29.1
"592","Joey Wendle",621563,2024,3.621621622,0.1315789474,37,2.7,134,0.289,40.4,88.3,59.4,72.6,25.9
"593","Davis Wendzel",673995,2024,3.469387755,0.16,49,2,170,0.375,21.8,85.4,66.7,73.9,28.6
"594","Jamie Westbrook",642197,2024,4.166666667,0.2012847966,48,8.3,200,0.418,23.4,89.4,69.1,67.4,35.7
"595","Jordan Westburg",676059,2024,3.655480984,0.2962962963,447,4.9,1634,0.491,27.2,91.1,69.6,70.7,26.2
"596","Shay Whitcomb",694376,2024,3.934782609,0.2173913043,46,10.9,181,0.417,22.2,88.8,76.3,82.1,30.3
"597","Eli White",642201,2024,3.80952381,0.1666666667,42,2.4,160,0.328,28.4,88.7,76.1,78.2,25.9
"598","Joey Wiemer Jr.",686894,2024,3.892857143,0.1333333333,28,7.1,109,0.298,12.5,82.8,72.5,70.2,17.6
"599","Alika Williams",675961,2024,3.5,0.1414141414,96,3.1,336,0.306,22.5,87.2,69.7,76.9,22.9
"600","Luke Williams",663897,2024,3.307692308,0.1509433962,52,7.7,172,0.266,26,89.6,71.3,74.4,41.2
"601","Jacob Wilson Jr.",805779,2024,3.388349515,0.1467889908,103,7.8,349,0.31,39.7,85.4,63.2,87.3,16.7
"602","Weston Wilson",642215,2024,3.867346939,0.2285714286,98,8.2,379,0.417,24.7,89.7,72.6,66.1,23.3
"603","Jesse Winker",608385,2024,4.061023622,0.284965035,508,12.4,2063,0.384,26.7,88.6,81,80.4,22.2
"604","Masyn Winn",691026,2024,4.015698587,0.2092675635,637,6.4,2558,0.358,26.5,87,69.6,81,24.3
"605","Patrick Wisdom",621550,2024,4.028735632,0.2320441989,174,5.7,701,0.419,19.5,90.9,74.3,68.6,45.5
"606","Brett Wisely",689172,2024,3.632352941,0.1768953069,272,4.8,988,0.313,26,86.8,69.1,77.5,33.9
"607","Bobby Witt Jr.",677951,2024,3.667136812,0.1932555123,709,8,2600,0.577,27.5,92.7,67.9,77.7,30.5
"608","Connor Wong",657136,2024,3.829568789,0.1841584158,487,5.7,1865,0.355,21.3,86.5,70.5,71.2,24.1
"609","James Wood",695578,2024,4.178571429,0.2951289398,336,11.6,1404,0.439,24.2,92.8,79,70.4,18.2
"610","Austin Wynns",642851,2024,3.75,0.09523809524,20,0,75,0.367,34.3,91.5,60.6,74.4,21.4
"611","Mike Yastrzemski",573262,2024,4.124472574,0.2530864198,474,8,1955,0.397,26.9,90.4,76.2,73.9,32
"612","Christian Yelich",592885,2024,4.025396825,0.3072289157,315,12.7,1268,0.471,25.8,91.1,75.1,76.9,19.2
"613","Juan Yepez",660766,2024,3.879518072,0.2037037037,249,7.2,966,0.351,24.1,86.6,67.5,77.9,20.7
"614","Nick Yorke",694377,2024,4.142857143,0.1590909091,42,9.5,174,0.509,19.4,89.7,75.6,68.3,23.1
"615","Masataka Yoshida",807799,2024,3.783847981,0.1900452489,421,6.4,1593,0.394,30.1,88,74.8,85.4,24.4
"616","Jacob Young",696285,2024,3.752399232,0.1642335766,521,5.8,1955,0.317,29.4,85.8,72.2,80.7,15.4
"617","Seby Zavala",664874,2024,3.976744186,0.1956521739,43,7,171,0.352,19.4,90.5,66.2,63.1,29.2
